ORDER_REF,AMOUNT,AMOUNT_FOREIGN,TRANSACTION_TYPE,ACCOUNTNUMBER,MERCHANT_ACCOUNT,BATCH_NUMBER,TYPE_NAME
Z000096427,351.54,475.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
E000239403,214.60,285.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
R000183448,148.03,209.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
E000151894,131.46,173.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
C000240484,372.50,485.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
Z000245296,238.57,309.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
C000121401,157.76,209.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
E000208546,63.65,86.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
Z000015592,143.07,190.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
Z000039614,84.20,114.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
R000244146,231.77,323.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
C000251607,278.03,349.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
Z000137685,233.97,304.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
Z000132186,212.63,304.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
C000100823,114.84,154.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
Z000134877,318.31,450.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
A000083079,163.66,219.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
R000019886,392.60,494.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
R000012038,460.68,618.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
E000137038,442.60,589.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
A000027678,497.62,701.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
A000070950,154.74,196.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
Z000225210,249.10,331.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
Z000074756,119.08,152.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
Z000170711,195.08,276.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
Z000124484,73.17,95.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
Z000094157,95.31,124.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
R000094855,241.27,333.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
C000010144,342.07,437.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
C000280686,336.82,428.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
A000076751,42.90,57.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
E000272308,77.31,108.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
R000022711,310.70,399.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
A000004385,251.66,333.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
C000148021,556.98,724.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
E000204351,101.46,133.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
C000026566,134.83,171.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
C000191580,67.81,95.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
R000076074,127.21,162.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
R000009856,421.19,570.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
Z000006863,343.55,475.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
C000165642,47.65,62.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
R000101520,201.10,277.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
E000059831,57.55,76.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
R000025018,267.79,344.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
Z000219613,90.53,114.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
C000102604,307.17,409.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
Z000073661,468.80,622.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
Z000071147,163.74,209.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
A000261689,168.39,238.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
C000088036,376.14,523.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
R000238012,700.99,950.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
A000199865,461.84,618.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
A000207523,9.77,13.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
A000154585,410.84,556.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
A000061794,786.50,988.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
R000235662,293.15,371.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
A000025330,158.05,200.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
Z000138176,70.26,95.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
R000284801,74.43,95.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
C000119504,336.71,428.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
R000209517,44.01,57.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
Z000143311,80.86,106.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
C000287832,335.69,428.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
R000039343,90.99,129.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
A000224177,337.78,428.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
E000270790,197.55,262.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
E000279738,154.20,209.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
Z000161012,142.74,190.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
A000095338,133.87,179.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
C000099169,267.35,357.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
Z000273538,41.93,57.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
C000271319,180.62,251.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
R000250610,204.98,285.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
E000146982,537.87,684.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
E000039551,323.55,452.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
Z000086899,83.63,108.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
Z000084052,470.48,618.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
E000256178,523.16,665.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
Z000000922,118.81,152.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
A000267859,110.30,152.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
C000051398,140.70,185.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
A000057086,42.82,57.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
Z000245028,380.49,527.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
R000259930,146.29,186.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
R000233944,234.21,302.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
E000223981,118.36,152.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
A000278857,144.57,190.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
R000266009,303.33,432.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
R000025523,30.12,40.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
C000153875,46.53,61.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
C000044651,432.06,556.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
C000207154,340.87,475.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
E000086435,162.35,209.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
C000129055,508.62,689.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
Z000136579,635.01,812.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
A000176951,373.89,475.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
R000005022,116.12,154.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
A000117228,286.22,375.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
R000185099,149.59,190.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
Z000093625,259.78,361.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
Z000049865,344.15,475.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
Z000034418,297.03,380.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
R000052936,236.57,310.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
C000202488,170.03,238.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
R000239303,203.34,285.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
R000227954,173.23,245.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
A000128543,66.91,95.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
R000193824,85.19,120.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
R000045647,389.19,494.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
A000137400,280.38,371.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
R000111456,128.33,167.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
C000189539,244.47,310.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
E000223980,318.59,424.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
C000107857,304.87,433.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
Z000060835,197.59,257.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
R000164945,182.80,247.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
A000021248,316.54,404.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
Z000043684,59.78,76.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
Z000247545,226.11,287.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
R000169034,452.77,570.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
E000102703,27.20,38.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
E000011286,440.87,570.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
A000075270,591.05,755.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
A000155141,43.36,57.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
R000205100,116.81,152.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
Z000127114,217.42,285.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
A000231211,87.07,124.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
Z000117595,122.67,156.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
A000254290,527.87,675.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
R000108522,188.31,249.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
C000288545,551.25,697.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
A000115338,264.92,371.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
R000225617,294.70,380.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
E000089829,14.60,19.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
R000111917,54.27,76.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
C000110399,222.03,291.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
R000124991,210.05,285.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
E000251298,413.63,523.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
Z000243497,352.13,467.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
C000206679,380.97,539.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
A000264196,138.92,181.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
E000084481,134.40,190.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
Z000138578,40.32,57.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
A000291803,143.65,190.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
C000159457,186.38,252.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
C000158561,379.32,480.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
C000264368,104.31,133.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
E000156807,141.45,190.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
Z000159934,101.46,133.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
R000281235,45.72,62.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
C000097407,226.38,295.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
Z000261889,174.49,226.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
Z000098736,299.90,380.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
A000090634,454.39,580.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
Z000222349,155.79,209.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
R000267730,122.78,162.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
C000158727,128.49,171.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
C000077680,114.87,152.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
C000226086,53.54,67.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
C000047519,220.72,299.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
A000193108,132.79,175.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
C000197850,291.66,380.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
Z000007508,140.73,190.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
Z000261769,385.93,523.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
Z000022403,407.66,528.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
C000043953,112.72,146.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
R000006194,103.58,137.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
E000048048,144.48,190.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
C000133889,492.18,697.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
A000187314,424.14,589.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
C000289161,306.79,428.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
Z000132803,348.70,488.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
Z000075083,178.23,238.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
R000266603,291.27,380.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
Z000067032,358.53,460.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
A000104702,193.35,247.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
E000073063,73.16,93.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
E000087412,357.36,454.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
R000050746,544.67,708.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
E000237243,102.69,133.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
A000194965,62.86,80.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
E000076204,250.56,333.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
E000253845,74.12,95.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
A000102901,51.88,67.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
E000096764,203.69,260.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
E000047347,102.26,133.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
E000051116,322.97,456.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
E000080609,112.42,152.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
Z000219706,29.72,38.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
C000084598,274.84,380.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
A000129666,363.05,492.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
Z000034493,323.42,437.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
A000047156,773.31,1093.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
C000005495,162.77,213.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
A000167697,58.58,81.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
Z000221678,71.80,95.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
C000206996,340.42,428.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
C000085105,218.37,290.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
