ORDER_REF_index,ORDER_REF,GROSS,Total_in_netsuite,merchant_account,batch_number
A000003244,A000003244,120.0,Not_Available,JetBrainsAmericasUSD,141
A000003317,A000003317,112.0,Not_Available,JetBrainsAmericasUSD,141
A000003326,A000003326,280.0,Not_Available,JetBrainsAmericasUSD,141
A000003416,A000003416,335.0,Not_Available,JetBrainsAmericasUSD,141
A000003418,A000003418,280.0,Not_Available,JetBrainsAmericasUSD,141
A000003454,A000003454,695.0,Not_Available,JetBrainsAmericasUSD,141
A000003561,A000003561,232.0,Not_Available,JetBrainsAmericasUSD,141
A000003595,A000003595,112.0,Not_Available,JetBrainsAmericasUSD,141
A000003621,A000003621,316.0,Not_Available,JetBrainsAmericasUSD,141
A000003624,A000003624,575.0,Not_Available,JetBrainsAmericasUSD,141
A000003751,A000003751,300.0,Not_Available,JetBrainsAmericasUSD,141
A000003812,A000003812,180.0,Not_Available,JetBrainsAmericasUSD,141
A000003836,A000003836,206.0,Not_Available,JetBrainsAmericasUSD,141
A000003869,A000003869,160.0,Not_Available,JetBrainsAmericasUSD,141
A000003877,A000003877,100.0,Not_Available,JetBrainsAmericasUSD,141
A000003907,A000003907,50.0,Not_Available,JetBrainsAmericasUSD,141
A000003914,A000003914,715.0,Not_Available,JetBrainsAmericasUSD,141
A000003922,A000003922,400.0,Not_Available,JetBrainsAmericasUSD,141
A000004027,A000004027,120.0,Not_Available,JetBrainsAmericasUSD,141
A000004050,A000004050,792.0,Not_Available,JetBrainsAmericasUSD,141
A000004058,A000004058,378.0,Not_Available,JetBrainsAmericasUSD,141
A000004062,A000004062,521.0,Not_Available,JetBrainsAmericasUSD,141
A000004108,A000004108,174.0,Not_Available,JetBrainsAmericasUSD,141
A000004467,A000004467,210.0,Not_Available,JetBrainsAmericasUSD,141
A000004508,A000004508,154.0,Not_Available,JetBrainsAmericasUSD,141
A000004563,A000004563,84.0,Not_Available,JetBrainsAmericasUSD,141
A000004564,A000004564,505.0,Not_Available,JetBrainsAmericasUSD,141
A000004598,A000004598,600.0,Not_Available,JetBrainsAmericasUSD,141
A000004605,A000004605,320.0,Not_Available,JetBrainsAmericasUSD,141
A000004631,A000004631,42.0,Not_Available,JetBrainsAmericasUSD,141
A000004824,A000004824,898.0,Not_Available,JetBrainsAmericasUSD,141
A000004862,A000004862,320.0,Not_Available,JetBrainsAmericasUSD,141
A000004905,A000004905,216.0,Not_Available,JetBrainsAmericasUSD,141
A000004922,A000004922,320.0,Not_Available,JetBrainsAmericasUSD,141
A000004925,A000004925,84.0,Not_Available,JetBrainsAmericasUSD,141
A000004952,A000004952,360.0,Not_Available,JetBrainsAmericasUSD,141
A000004981,A000004981,200.0,Not_Available,JetBrainsAmericasUSD,141
A000005063,A000005063,200.0,Not_Available,JetBrainsAmericasUSD,141
A000005112,A000005112,398.0,Not_Available,JetBrainsAmericasUSD,141
A000005185,A000005185,28.0,Not_Available,JetBrainsAmericasUSD,141
A000005189,A000005189,450.0,Not_Available,JetBrainsAmericasUSD,141
A000005228,A000005228,360.0,Not_Available,JetBrainsAmericasUSD,141
A000005289,A000005289,170.0,Not_Available,JetBrainsAmericasUSD,141
A000005303,A000005303,200.0,Not_Available,JetBrainsAmericasUSD,141
A000005325,A000005325,465.0,Not_Available,JetBrainsAmericasUSD,141
A000005341,A000005341,150.0,Not_Available,JetBrainsAmericasUSD,141
A000005351,A000005351,100.0,Not_Available,JetBrainsAmericasUSD,141
A000005380,A000005380,445.0,Not_Available,JetBrainsAmericasUSD,141
A000005393,A000005393,20.0,Not_Available,JetBrainsAmericasUSD,141
A000005422,A000005422,660.0,Not_Available,JetBrainsAmericasUSD,141
A000005431,A000005431,160.0,Not_Available,JetBrainsAmericasUSD,141
A000005459,A000005459,84.0,Not_Available,JetBrainsAmericasUSD,141
A000005472,A000005472,330.0,Not_Available,JetBrainsAmericasUSD,141
A000005478,A000005478,718.0,Not_Available,JetBrainsAmericasUSD,141
A000005499,A000005499,192.0,Not_Available,JetBrainsAmericasUSD,141
A000005519,A000005519,450.0,Not_Available,JetBrainsAmericasUSD,141
A000005634,A000005634,298.0,Not_Available,JetBrainsAmericasUSD,141
A000005658,A000005658,348.0,Not_Available,JetBrainsAmericasUSD,141
A000005659,A000005659,112.0,Not_Available,JetBrainsAmericasUSD,141
A000005660,A000005660,328.0,Not_Available,JetBrainsAmericasUSD,141
A000005815,A000005815,50.0,Not_Available,JetBrainsAmericasUSD,141
A000005816,A000005816,162.0,Not_Available,JetBrainsAmericasUSD,141
A000005825,A000005825,400.0,Not_Available,JetBrainsAmericasUSD,141
A000005864,A000005864,460.0,Not_Available,JetBrainsAmericasUSD,141
A000006012,A000006012,632.0,Not_Available,JetBrainsAmericasUSD,141
A000006014,A000006014,200.0,Not_Available,JetBrainsAmericasUSD,141
A000006038,A000006038,280.0,Not_Available,JetBrainsAmericasUSD,141
A000006051,A000006051,230.0,Not_Available,JetBrainsAmericasUSD,141
A000006136,A000006136,170.0,Not_Available,JetBrainsAmericasUSD,141
A000006259,A000006259,150.0,Not_Available,JetBrainsAmericasUSD,141
A000006318,A000006318,748.0,Not_Available,JetBrainsAmericasUSD,141
A000006321,A000006321,250.0,Not_Available,JetBrainsAmericasUSD,141
A000006392,A000006392,224.0,Not_Available,JetBrainsAmericasUSD,141
A000006423,A000006423,140.0,Not_Available,JetBrainsAmericasUSD,141
A000006445,A000006445,160.0,Not_Available,JetBrainsAmericasUSD,141
A000006451,A000006451,140.0,Not_Available,JetBrainsAmericasUSD,141
A000006458,A000006458,505.0,Not_Available,JetBrainsAmericasUSD,141
A000006482,A000006482,180.0,Not_Available,JetBrainsAmericasUSD,141
A000006617,A000006617,500.0,Not_Available,JetBrainsAmericasUSD,141
A000006741,A000006741,310.0,Not_Available,JetBrainsAmericasUSD,141
A000006855,A000006855,510.0,Not_Available,JetBrainsAmericasUSD,141
A000006907,A000006907,50.0,Not_Available,JetBrainsAmericasUSD,141
A000006929,A000006929,20.0,Not_Available,JetBrainsAmericasUSD,141
A000006933,A000006933,785.0,Not_Available,JetBrainsAmericasUSD,141
A000007007,A000007007,112.0,Not_Available,JetBrainsAmericasUSD,141
A000007065,A000007065,252.0,Not_Available,JetBrainsAmericasUSD,141
A000007117,A000007117,126.0,Not_Available,JetBrainsAmericasUSD,141
A000007144,A000007144,120.0,Not_Available,JetBrainsAmericasUSD,141
A000007162,A000007162,148.0,Not_Available,JetBrainsAmericasUSD,141
A000007360,A000007360,780.0,Not_Available,JetBrainsAmericasUSD,141
A000007365,A000007365,598.0,Not_Available,JetBrainsAmericasUSD,141
A000007413,A000007413,210.0,Not_Available,JetBrainsAmericasUSD,141
A000007429,A000007429,400.0,Not_Available,JetBrainsAmericasUSD,141
A000007471,A000007471,100.0,Not_Available,JetBrainsAmericasUSD,141
A000007516,A000007516,534.0,Not_Available,JetBrainsAmericasUSD,141
A000007528,A000007528,93.0,Not_Available,JetBrainsAmericasUSD,141
A000007542,A000007542,418.0,Not_Available,JetBrainsAmericasUSD,141
A000007582,A000007582,655.0,Not_Available,JetBrainsAmericasUSD,141
A000007600,A000007600,220.0,Not_Available,JetBrainsAmericasUSD,141
A000007709,A000007709,60.0,Not_Available,JetBrainsAmericasUSD,141
A000007737,A000007737,450.0,Not_Available,JetBrainsAmericasUSD,141
A000007767,A000007767,380.0,Not_Available,JetBrainsAmericasUSD,141
A000007785,A000007785,610.0,Not_Available,JetBrainsAmericasUSD,141
A000007959,A000007959,190.0,Not_Available,JetBrainsAmericasUSD,141
A000007968,A000007968,214.0,Not_Available,JetBrainsAmericasUSD,141
A000008026,A000008026,300.0,Not_Available,JetBrainsAmericasUSD,141
A000008109,A000008109,76.0,Not_Available,JetBrainsAmericasUSD,141
A000008334,A000008334,1025.0,Not_Available,JetBrainsAmericasUSD,141
A000008338,A000008338,105.0,Not_Available,JetBrainsAmericasUSD,141
A000008516,A000008516,715.0,Not_Available,JetBrainsAmericasUSD,141
A000008596,A000008596,580.0,Not_Available,JetBrainsAmericasUSD,141
A000008734,A000008734,850.0,Not_Available,JetBrainsAmericasUSD,141
A000008919,A000008919,64.0,Not_Available,JetBrainsAmericasUSD,141
A000008964,A000008964,504.0,Not_Available,JetBrainsAmericasUSD,141
A000008978,A000008978,94.0,Not_Available,JetBrainsAmericasUSD,141
A000008983,A000008983,390.0,Not_Available,JetBrainsAmericasUSD,141
A000008997,A000008997,160.0,Not_Available,JetBrainsAmericasUSD,141
A000009048,A000009048,460.0,Not_Available,JetBrainsAmericasUSD,141
A000009110,A000009110,134.0,Not_Available,JetBrainsAmericasUSD,141
A000009322,A000009322,220.0,Not_Available,JetBrainsAmericasUSD,141
A000009417,A000009417,350.0,Not_Available,JetBrainsAmericasUSD,141
A000009423,A000009423,90.0,Not_Available,JetBrainsAmericasUSD,141
A000009431,A000009431,200.0,Not_Available,JetBrainsAmericasUSD,141
A000009443,A000009443,14.0,Not_Available,JetBrainsAmericasUSD,141
A000009545,A000009545,100.0,Not_Available,JetBrainsAmericasUSD,141
A000009609,A000009609,775.0,Not_Available,JetBrainsAmericasUSD,141
A000009610,A000009610,284.0,Not_Available,JetBrainsAmericasUSD,141
A000009639,A000009639,196.0,Not_Available,JetBrainsAmericasUSD,141
A000009645,A000009645,630.0,Not_Available,JetBrainsAmericasUSD,141
A000009718,A000009718,378.0,Not_Available,JetBrainsAmericasUSD,141
A000009759,A000009759,550.0,Not_Available,JetBrainsAmericasUSD,141
A000009788,A000009788,750.0,Not_Available,JetBrainsAmericasUSD,141
A000009892,A000009892,626.0,Not_Available,JetBrainsAmericasUSD,141
A000009903,A000009903,290.0,Not_Available,JetBrainsAmericasUSD,141
A000009987,A000009987,256.0,Not_Available,JetBrainsAmericasUSD,141
A000009989,A000009989,500.0,Not_Available,JetBrainsAmericasUSD,141
A000009993,A000009993,224.0,Not_Available,JetBrainsAmericasUSD,141
A000010021,A000010021,140.0,Not_Available,JetBrainsAmericasUSD,141
A000010031,A000010031,84.0,Not_Available,JetBrainsAmericasUSD,141
A000010086,A000010086,256.0,Not_Available,JetBrainsAmericasUSD,141
A000010108,A000010108,168.0,Not_Available,JetBrainsAmericasUSD,141
A000010211,A000010211,14.0,Not_Available,JetBrainsAmericasUSD,141
A000010392,A000010392,950.0,Not_Available,JetBrainsAmericasUSD,141
A000010398,A000010398,264.0,Not_Available,JetBrainsAmericasUSD,141
A000010470,A000010470,1082.0,Not_Available,JetBrainsAmericasUSD,141
A000010500,A000010500,600.0,Not_Available,JetBrainsAmericasUSD,141
A000010571,A000010571,84.0,Not_Available,JetBrainsAmericasUSD,141
A000010666,A000010666,392.0,Not_Available,JetBrainsAmericasUSD,141
A000010682,A000010682,520.0,Not_Available,JetBrainsAmericasUSD,141
A000010705,A000010705,400.0,Not_Available,JetBrainsAmericasUSD,141
A000010736,A000010736,224.0,Not_Available,JetBrainsAmericasUSD,141
A000010895,A000010895,40.0,Not_Available,JetBrainsAmericasUSD,141
A000010918,A000010918,500.0,Not_Available,JetBrainsAmericasUSD,141
A000010926,A000010926,335.0,Not_Available,JetBrainsAmericasUSD,141
A000010984,A000010984,660.0,Not_Available,JetBrainsAmericasUSD,141
A000011045,A000011045,56.0,Not_Available,JetBrainsAmericasUSD,141
A000011065,A000011065,500.0,Not_Available,JetBrainsAmericasUSD,141
A000011089,A000011089,60.0,Not_Available,JetBrainsAmericasUSD,141
A000011095,A000011095,200.0,Not_Available,JetBrainsAmericasUSD,141
A000011171,A000011171,60.0,Not_Available,JetBrainsAmericasUSD,141
A000011227,A000011227,200.0,Not_Available,JetBrainsAmericasUSD,141
A000011229,A000011229,490.0,Not_Available,JetBrainsAmericasUSD,141
A000011254,A000011254,224.0,Not_Available,JetBrainsAmericasUSD,141
A000011273,A000011273,160.0,Not_Available,JetBrainsAmericasUSD,141
A000011329,A000011329,180.0,Not_Available,JetBrainsAmericasUSD,141
A000011363,A000011363,200.0,Not_Available,JetBrainsAmericasUSD,141
A000011394,A000011394,542.0,Not_Available,JetBrainsAmericasUSD,141
A000011451,A000011451,562.0,Not_Available,JetBrainsAmericasUSD,141
A000011486,A000011486,236.0,Not_Available,JetBrainsAmericasUSD,141
A000011538,A000011538,544.0,Not_Available,JetBrainsAmericasUSD,141
A000011588,A000011588,456.0,Not_Available,JetBrainsAmericasUSD,141
A000011646,A000011646,915.0,Not_Available,JetBrainsAmericasUSD,141
A000011726,A000011726,228.0,Not_Available,JetBrainsAmericasUSD,141
A000011739,A000011739,306.0,Not_Available,JetBrainsAmericasUSD,141
A000011759,A000011759,180.0,Not_Available,JetBrainsAmericasUSD,141
A000011792,A000011792,320.0,Not_Available,JetBrainsAmericasUSD,141
A000011974,A000011974,500.0,Not_Available,JetBrainsAmericasUSD,141
A000011992,A000011992,98.0,Not_Available,JetBrainsAmericasUSD,141
A000012016,A000012016,483.0,Not_Available,JetBrainsAmericasUSD,141
A000012017,A000012017,50.0,Not_Available,JetBrainsAmericasUSD,141
A000012018,A000012018,935.0,Not_Available,JetBrainsAmericasUSD,141
A000012033,A000012033,140.0,Not_Available,JetBrainsAmericasUSD,141
A000012088,A000012088,210.0,Not_Available,JetBrainsAmericasUSD,141
A000012127,A000012127,250.0,Not_Available,JetBrainsAmericasUSD,141
A000012183,A000012183,124.0,Not_Available,JetBrainsAmericasUSD,141
A000012190,A000012190,298.0,Not_Available,JetBrainsAmericasUSD,141
A000012302,A000012302,88.0,Not_Available,JetBrainsAmericasUSD,141
A000012320,A000012320,196.0,Not_Available,JetBrainsAmericasUSD,141
A000012395,A000012395,100.0,Not_Available,JetBrainsAmericasUSD,141
A000012450,A000012450,260.0,Not_Available,JetBrainsAmericasUSD,141
A000012566,A000012566,1000.0,Not_Available,JetBrainsAmericasUSD,141
A000012661,A000012661,126.0,Not_Available,JetBrainsAmericasUSD,141
A000012680,A000012680,470.0,Not_Available,JetBrainsAmericasUSD,141
A000012688,A000012688,144.0,Not_Available,JetBrainsAmericasUSD,141
A000012691,A000012691,40.0,Not_Available,JetBrainsAmericasUSD,141
A000012701,A000012701,56.0,Not_Available,JetBrainsAmericasUSD,141
A000012756,A000012756,590.0,Not_Available,JetBrainsAmericasUSD,141
A000012757,A000012757,120.0,Not_Available,JetBrainsAmericasUSD,141
A000012800,A000012800,330.0,Not_Available,JetBrainsAmericasUSD,141
A000012841,A000012841,126.0,Not_Available,JetBrainsAmericasUSD,141
A000012852,A000012852,1000.0,Not_Available,JetBrainsAmericasUSD,141
A000012874,A000012874,208.0,Not_Available,JetBrainsAmericasUSD,141
A000012897,A000012897,598.0,Not_Available,JetBrainsAmericasUSD,141
A000012923,A000012923,455.0,Not_Available,JetBrainsAmericasUSD,141
A000012929,A000012929,60.0,Not_Available,JetBrainsAmericasUSD,141
A000012995,A000012995,84.0,Not_Available,JetBrainsAmericasUSD,141
A000013018,A000013018,112.0,Not_Available,JetBrainsAmericasUSD,141
A000013029,A000013029,186.0,Not_Available,JetBrainsAmericasUSD,141
A000013070,A000013070,200.0,Not_Available,JetBrainsAmericasUSD,141
A000013124,A000013124,286.0,Not_Available,JetBrainsAmericasUSD,141
A000013248,A000013248,446.0,Not_Available,JetBrainsAmericasUSD,141
A000013254,A000013254,306.0,Not_Available,JetBrainsAmericasUSD,141
A000013307,A000013307,80.0,Not_Available,JetBrainsAmericasUSD,141
A000013443,A000013443,306.0,Not_Available,JetBrainsAmericasUSD,141
A000013453,A000013453,140.0,Not_Available,JetBrainsAmericasUSD,141
A000013484,A000013484,228.0,Not_Available,JetBrainsAmericasUSD,141
A000013515,A000013515,442.0,Not_Available,JetBrainsAmericasUSD,141
A000013583,A000013583,42.0,Not_Available,JetBrainsAmericasUSD,141
A000013676,A000013676,548.0,Not_Available,JetBrainsAmericasUSD,141
A000013758,A000013758,335.0,Not_Available,JetBrainsAmericasUSD,141
A000013823,A000013823,500.0,Not_Available,JetBrainsAmericasUSD,141
A000013829,A000013829,150.0,Not_Available,JetBrainsAmericasUSD,141
A000013830,A000013830,710.0,Not_Available,JetBrainsAmericasUSD,141
A000013850,A000013850,320.0,Not_Available,JetBrainsAmericasUSD,141
A000013871,A000013871,260.0,Not_Available,JetBrainsAmericasUSD,141
A000013902,A000013902,474.0,Not_Available,JetBrainsAmericasUSD,141
A000013930,A000013930,126.0,Not_Available,JetBrainsAmericasUSD,141
A000013952,A000013952,128.0,Not_Available,JetBrainsAmericasUSD,141
A000013978,A000013978,220.0,Not_Available,JetBrainsAmericasUSD,141
A000014002,A000014002,520.0,Not_Available,JetBrainsAmericasUSD,141
A000014119,A000014119,28.0,Not_Available,JetBrainsAmericasUSD,141
A000014144,A000014144,114.0,Not_Available,JetBrainsAmericasUSD,141
A000014237,A000014237,40.0,Not_Available,JetBrainsAmericasUSD,141
A000014393,A000014393,160.0,Not_Available,JetBrainsAmericasUSD,141
A000014396,A000014396,492.0,Not_Available,JetBrainsAmericasUSD,141
A000014401,A000014401,80.0,Not_Available,JetBrainsAmericasUSD,141
A000014403,A000014403,238.0,Not_Available,JetBrainsAmericasUSD,141
A000014424,A000014424,1049.0,Not_Available,JetBrainsAmericasUSD,141
A000014496,A000014496,700.0,Not_Available,JetBrainsAmericasUSD,141
A000014621,A000014621,28.0,Not_Available,JetBrainsAmericasUSD,141
A000014636,A000014636,182.0,Not_Available,JetBrainsAmericasUSD,141
A000014659,A000014659,140.0,Not_Available,JetBrainsAmericasUSD,141
A000014714,A000014714,600.0,Not_Available,JetBrainsAmericasUSD,141
A000014884,A000014884,340.0,Not_Available,JetBrainsAmericasUSD,141
A000014969,A000014969,60.0,Not_Available,JetBrainsAmericasUSD,141
A000014977,A000014977,140.0,Not_Available,JetBrainsAmericasUSD,141
A000015033,A000015033,367.0,Not_Available,JetBrainsAmericasUSD,141
A000015136,A000015136,100.0,Not_Available,JetBrainsAmericasUSD,141
A000015184,A000015184,224.0,Not_Available,JetBrainsAmericasUSD,141
A000015205,A000015205,500.0,Not_Available,JetBrainsAmericasUSD,141
A000015337,A000015337,180.0,Not_Available,JetBrainsAmericasUSD,141
A000015349,A000015349,50.0,Not_Available,JetBrainsAmericasUSD,141
A000015440,A000015440,745.0,Not_Available,JetBrainsAmericasUSD,141
A000015444,A000015444,178.0,Not_Available,JetBrainsAmericasUSD,141
A000015474,A000015474,620.0,Not_Available,JetBrainsAmericasUSD,141
A000015482,A000015482,70.0,Not_Available,JetBrainsAmericasUSD,141
A000015494,A000015494,156.0,Not_Available,JetBrainsAmericasUSD,141
A000015578,A000015578,222.0,Not_Available,JetBrainsAmericasUSD,141
A000015580,A000015580,140.0,Not_Available,JetBrainsAmericasUSD,141
A000015609,A000015609,210.0,Not_Available,JetBrainsAmericasUSD,141
A000015620,A000015620,576.0,Not_Available,JetBrainsAmericasUSD,141
A000015816,A000015816,700.0,Not_Available,JetBrainsAmericasUSD,141
A000015854,A000015854,515.0,Not_Available,JetBrainsAmericasUSD,141
A000015890,A000015890,550.0,Not_Available,JetBrainsAmericasUSD,141
A000015894,A000015894,1000.0,Not_Available,JetBrainsAmericasUSD,141
A000015913,A000015913,150.0,Not_Available,JetBrainsAmericasUSD,141
A000016085,A000016085,100.0,Not_Available,JetBrainsAmericasUSD,141
A000016095,A000016095,100.0,Not_Available,JetBrainsAmericasUSD,141
A000016097,A000016097,80.0,Not_Available,JetBrainsAmericasUSD,141
A000016117,A000016117,65.0,Not_Available,JetBrainsAmericasUSD,141
A000016123,A000016123,112.0,Not_Available,JetBrainsAmericasUSD,141
A000016145,A000016145,585.0,Not_Available,JetBrainsAmericasUSD,141
A000016343,A000016343,350.0,Not_Available,JetBrainsAmericasUSD,141
A000016434,A000016434,561.0,Not_Available,JetBrainsAmericasUSD,141
A000016470,A000016470,770.0,Not_Available,JetBrainsAmericasUSD,141
A000016509,A000016509,70.0,Not_Available,JetBrainsAmericasUSD,141
A000016551,A000016551,218.0,Not_Available,JetBrainsAmericasUSD,141
A000016566,A000016566,308.0,Not_Available,JetBrainsAmericasUSD,141
A000016569,A000016569,260.0,Not_Available,JetBrainsAmericasUSD,141
A000016602,A000016602,530.0,Not_Available,JetBrainsAmericasUSD,141
A000016613,A000016613,140.0,Not_Available,JetBrainsAmericasUSD,141
A000016666,A000016666,172.0,Not_Available,JetBrainsAmericasUSD,141
A000016743,A000016743,170.0,Not_Available,JetBrainsAmericasUSD,141
A000016818,A000016818,620.0,Not_Available,JetBrainsAmericasUSD,141
A000016842,A000016842,316.0,Not_Available,JetBrainsAmericasUSD,141
A000016865,A000016865,126.0,Not_Available,JetBrainsAmericasUSD,141
A000016932,A000016932,240.0,Not_Available,JetBrainsAmericasUSD,141
A000017015,A000017015,350.0,Not_Available,JetBrainsAmericasUSD,141
A000017026,A000017026,372.0,Not_Available,JetBrainsAmericasUSD,141
A000017152,A000017152,425.0,Not_Available,JetBrainsAmericasUSD,141
A000017190,A000017190,400.0,Not_Available,JetBrainsAmericasUSD,141
A000017239,A000017239,455.0,Not_Available,JetBrainsAmericasUSD,141
A000017252,A000017252,625.0,Not_Available,JetBrainsAmericasUSD,141
A000017290,A000017290,126.0,Not_Available,JetBrainsAmericasUSD,141
A000017485,A000017485,500.0,Not_Available,JetBrainsAmericasUSD,141
A000017510,A000017510,240.0,Not_Available,JetBrainsAmericasUSD,141
A000017554,A000017554,180.0,Not_Available,JetBrainsAmericasUSD,141
A000017600,A000017600,900.0,Not_Available,JetBrainsAmericasUSD,141
A000017625,A000017625,850.0,Not_Available,JetBrainsAmericasUSD,141
A000017681,A000017681,350.0,Not_Available,JetBrainsAmericasUSD,141
A000017686,A000017686,675.0,Not_Available,JetBrainsAmericasUSD,141
A000017910,A000017910,302.0,Not_Available,JetBrainsAmericasUSD,141
A000017929,A000017929,140.0,Not_Available,JetBrainsAmericasUSD,141
A000017942,A000017942,242.0,Not_Available,JetBrainsAmericasUSD,141
A000018073,A000018073,160.0,Not_Available,JetBrainsAmericasUSD,141
A000018097,A000018097,140.0,Not_Available,JetBrainsAmericasUSD,141
A000018280,A000018280,700.0,Not_Available,JetBrainsAmericasUSD,141
A000018303,A000018303,610.0,Not_Available,JetBrainsAmericasUSD,141
