ORDER_REF_index,MERCHANT_ACCOUNT,BATCH_NUMBER,ORDER_REF,CURRENCY,NET,FEE,GROSS,Total_in_netsuite,amount_check1
C000190633Refund,JetBrainsEUR,139,C000190633Refund,EUR,-220.0,-12.0,-232.0,0.0,False
C000219185,JetBrainsEUR,139,C000219185,EUR,128.0,7.0,135.0,135.0,True
C000219185Refund,JetBrainsEUR,139,C000219185Refund,EUR,-128.0,-7.0,-135.0,0.0,False
C000226003,JetBrainsEUR,139,C000226003,EUR,737.0,39.0,776.0,776.0,True
C000226003Refund,JetBrainsEUR,139,C000226003Refund,EUR,-369.0,-19.0,-388.0,0.0,False
C000263380,JetBrainsEUR,139,C000263380,EUR,523.0,27.0,550.0,550.0,True
C000263380Refund,JetBrainsEUR,139,C000263380Refund,EUR,-523.0,-27.0,-550.0,0.0,False
C000276596,JetBrainsEUR,139,C000276596,EUR,247.0,13.0,260.0,260.0,True
C000276596Refund,JetBrainsEUR,139,C000276596Refund,EUR,-124.0,-6.0,-130.0,0.0,False
E000014269,JetBrainsEUR,139,E000014269,EUR,57.0,3.0,60.0,60.0,True
E000014269Refund,JetBrainsEUR,139,E000014269Refund,EUR,-57.0,-3.0,-60.0,0.0,False
E000098212,JetBrainsEUR,139,E000098212,EUR,305.0,16.0,321.0,321.0,True
E000098212Refund,JetBrainsEUR,139,E000098212Refund,EUR,-153.0,-8.0,-161.0,0.0,False
E000098622,JetBrainsEUR,139,E000098622,EUR,793.0,42.0,835.0,835.0,True
E000098622Refund,JetBrainsEUR,139,E000098622Refund,EUR,-397.0,-21.0,-418.0,0.0,False
E000100806,JetBrainsEUR,139,E000100806,EUR,1050.0,55.0,1105.0,1105.0,True
E000100806Refund,JetBrainsEUR,139,E000100806Refund,EUR,-525.0,-28.0,-553.0,0.0,False
E000134446,JetBrainsEUR,139,E000134446,EUR,475.0,25.0,500.0,500.0,True
E000134446Refund,JetBrainsEUR,139,E000134446Refund,EUR,-475.0,-25.0,-500.0,0.0,False
E000135298,JetBrainsEUR,139,E000135298,EUR,152.0,8.0,160.0,160.0,True
E000135298Refund,JetBrainsEUR,139,E000135298Refund,EUR,-152.0,-8.0,-160.0,0.0,False
E000183158,JetBrainsEUR,139,E000183158,EUR,570.0,30.0,600.0,600.0,True
E000183158Refund,JetBrainsEUR,139,E000183158Refund,EUR,-285.0,-15.0,-300.0,0.0,False
E000227136,JetBrainsEUR,139,E000227136,EUR,542.0,28.0,570.0,570.0,True
E000227136Refund,JetBrainsEUR,139,E000227136Refund,EUR,-542.0,-28.0,-570.0,0.0,False
E000242647,JetBrainsEUR,139,E000242647,EUR,67.0,3.0,70.0,70.0,True
E000242647Refund,JetBrainsEUR,139,E000242647Refund,EUR,-67.0,-3.0,-70.0,0.0,False
R000036775,JetBrainsEUR,139,R000036775,EUR,521.0,27.0,548.0,548.0,True
R000036775Refund,JetBrainsEUR,139,R000036775Refund,EUR,-521.0,-27.0,-548.0,0.0,False
R000041486,JetBrainsEUR,139,R000041486,EUR,203.0,11.0,214.0,214.0,True
R000041486Refund,JetBrainsEUR,139,R000041486Refund,EUR,-203.0,-11.0,-214.0,0.0,False
R000046019,JetBrainsEUR,139,R000046019,EUR,143.0,7.0,150.0,150.0,True
R000046019Refund,JetBrainsEUR,139,R000046019Refund,EUR,-143.0,-7.0,-150.0,0.0,False
R000046915,JetBrainsEUR,139,R000046915,EUR,81.0,4.0,85.0,85.0,True
R000046915Refund,JetBrainsEUR,139,R000046915Refund,EUR,-81.0,-4.0,-85.0,0.0,False
R000047939,JetBrainsEUR,139,R000047939,EUR,67.0,3.0,70.0,70.0,True
R000047939Refund,JetBrainsEUR,139,R000047939Refund,EUR,-67.0,-3.0,-70.0,0.0,False
R000174288,JetBrainsEUR,139,R000174288,EUR,144.0,8.0,152.0,152.0,True
R000174288Refund,JetBrainsEUR,139,R000174288Refund,EUR,-72.0,-4.0,-76.0,0.0,False
R000201976,JetBrainsEUR,139,R000201976,EUR,912.0,48.0,960.0,960.0,True
R000201976Refund,JetBrainsEUR,139,R000201976Refund,EUR,-912.0,-48.0,-960.0,0.0,False
R000221271,JetBrainsEUR,139,R000221271,EUR,120.0,6.0,126.0,126.0,True
R000221271Refund,JetBrainsEUR,139,R000221271Refund,EUR,-120.0,-6.0,-126.0,0.0,False
Z000017688,JetBrainsEUR,139,Z000017688,EUR,393.0,21.0,414.0,414.0,True
Z000017688Refund,JetBrainsEUR,139,Z000017688Refund,EUR,-197.0,-10.0,-207.0,0.0,False
Z000034805,JetBrainsEUR,139,Z000034805,EUR,80.0,4.0,84.0,84.0,True
Z000034805Refund,JetBrainsEUR,139,Z000034805Refund,EUR,-40.0,-2.0,-42.0,0.0,False
Z000153420,JetBrainsEUR,139,Z000153420,EUR,328.0,17.0,345.0,345.0,True
Z000153420Refund,JetBrainsEUR,139,Z000153420Refund,EUR,-164.0,-9.0,-173.0,0.0,False
Z000183715,JetBrainsEUR,139,Z000183715,EUR,304.0,16.0,320.0,320.0,True
Z000183715Refund,JetBrainsEUR,139,Z000183715Refund,EUR,-304.0,-16.0,-320.0,0.0,False
Z000276682,JetBrainsEUR,139,Z000276682,EUR,62.0,3.0,65.0,65.0,True
Z000276682Refund,JetBrainsEUR,139,Z000276682Refund,EUR,-62.0,-3.0,-65.0,0.0,False
